,B,C
9.3352,0.000195158746218,0.000558614941665
9.3685,3.96171256160677E-05,0.000819135842451
9.4019,0.000239195240197,0.000722542750984
9.4352,7.80408310805957E-05,0.000752026975224
9.4686,0.000246504841822,0.000755533308048
9.5019,0.000124932447398,0.001052052536537
9.5352,0.000122309874427,0.000972497386909
9.5686,9.66400213646925E-05,0.000734201868603
9.6019,4.74072932619357E-05,0.000684286093606
9.6353,7.84579572811748E-05,0.000920778869582
9.6686,0.000114934913658,0.000840839614693
9.7019,7.46739283826399E-05,0.001002717101103
9.7353,0,0.000890293850717
9.7686,0,0.000915708919571
9.802,0,0.000876475130052
9.8353,0,0.000644560038107
9.8686,9.06510786016091E-05,0.000807563791569
9.902,5.92038630343249E-05,0.000894450036365
9.9353,8.50902011022601E-05,0.0010425480206
9.9687,4.23059938602318E-05,0.000851794495294
